Printed on: 8/9/2021 7:17:48 AM
Date	Part number	Serial number	Status	Wave.	Fiber IL	Refl.	IL A	Refl.A	IL B	Refl.B
8/6/2021 3:08:13 PM	temptest	060821-0002	Passed	1310nm 1	n/a	n/a	3.92	n/a	n/a	n/a
8/6/2021 3:08:13 PM	temptest	060821-0002	Passed	1550nm 1	n/a	n/a	3.63	n/a	n/a	n/a
8/6/2021 3:09:14 PM	temptest	060821-0003	Passed	1310nm 1	n/a	n/a	3.92	n/a	n/a	n/a
8/6/2021 3:09:14 PM	temptest	060821-0003	Passed	1550nm 1	n/a	n/a	3.63	n/a	n/a	n/a
8/6/2021 3:10:15 PM	temptest	060821-0004	Passed	1310nm 1	n/a	n/a	3.94	n/a	n/a	n/a
8/6/2021 3:10:15 PM	temptest	060821-0004	Passed	1550nm 1	n/a	n/a	3.59	n/a	n/a	n/a
8/6/2021 3:11:16 PM	temptest	060821-0005	Passed	1310nm 1	n/a	n/a	3.94	n/a	n/a	n/a
8/6/2021 3:11:16 PM	temptest	060821-0005	Passed	1550nm 1	n/a	n/a	3.60	n/a	n/a	n/a
8/6/2021 3:12:17 PM	temptest	060821-0006	Passed	1310nm 1	n/a	n/a	3.95	n/a	n/a	n/a
8/6/2021 3:12:17 PM	temptest	060821-0006	Passed	1550nm 1	n/a	n/a	3.61	n/a	n/a	n/a
8/6/2021 3:13:18 PM	temptest	060821-0007	Passed	1310nm 1	n/a	n/a	3.95	n/a	n/a	n/a
8/6/2021 3:13:18 PM	temptest	060821-0007	Passed	1550nm 1	n/a	n/a	3.63	n/a	n/a	n/a
8/6/2021 3:14:19 PM	temptest	060821-0008	Passed	1310nm 1	n/a	n/a	3.95	n/a	n/a	n/a
8/6/2021 3:14:19 PM	temptest	060821-0008	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:15:20 PM	temptest	060821-0009	Passed	1310nm 1	n/a	n/a	3.95	n/a	n/a	n/a
8/6/2021 3:15:20 PM	temptest	060821-0009	Passed	1550nm 1	n/a	n/a	3.65	n/a	n/a	n/a
8/6/2021 3:16:21 PM	temptest	060821-0010	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:16:21 PM	temptest	060821-0010	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:17:22 PM	temptest	060821-0011	Passed	1310nm 1	n/a	n/a	3.95	n/a	n/a	n/a
8/6/2021 3:17:22 PM	temptest	060821-0011	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:18:24 PM	temptest	060821-0012	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:18:24 PM	temptest	060821-0012	Passed	1550nm 1	n/a	n/a	3.63	n/a	n/a	n/a
8/6/2021 3:19:25 PM	temptest	060821-0013	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:19:25 PM	temptest	060821-0013	Passed	1550nm 1	n/a	n/a	3.63	n/a	n/a	n/a
8/6/2021 3:20:26 PM	temptest	060821-0014	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:20:26 PM	temptest	060821-0014	Passed	1550nm 1	n/a	n/a	3.63	n/a	n/a	n/a
8/6/2021 3:21:27 PM	temptest	060821-0015	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:21:27 PM	temptest	060821-0015	Passed	1550nm 1	n/a	n/a	3.63	n/a	n/a	n/a
8/6/2021 3:22:28 PM	temptest	060821-0016	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
